pid,face_id,version,trust_rating,emotion_rating,fem_choice,femininity_full,masc_choice,masculinity_full,export_timestamp,data_source
test_001,face_12,both,4,8,left,9,left,7,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_12,left,1,5,left,9,left,7,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_12,right,7,2,left,9,left,7,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_13,both,2,7,right,5,left,2,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_13,left,6,6,right,5,left,2,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_13,right,2,3,right,5,left,2,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_14,both,4,8,both,8,both,4,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_14,left,8,5,both,8,both,4,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_14,right,8,5,both,8,both,4,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_15,both,1,3,both,5,both,8,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_15,left,6,5,both,5,both,8,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_15,right,5,9,both,5,both,8,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_16,both,5,1,both,6,both,1,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_16,left,2,9,both,6,both,1,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_16,right,9,1,both,6,both,1,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_17,both,3,9,right,8,both,8,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_17,left,3,6,right,8,both,8,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_17,right,3,7,right,8,both,8,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_18,both,5,7,right,2,both,8,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_18,left,2,4,right,2,both,8,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_18,right,1,9,right,2,both,8,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_19,both,9,1,neither,5,neither,3,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_19,left,1,7,neither,5,neither,3,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_19,right,7,5,neither,5,neither,3,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_20,both,1,5,both,9,left,4,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_20,left,7,4,both,9,left,4,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_20,right,9,7,both,9,left,4,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_21,both,6,2,neither,9,both,4,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_21,left,9,3,neither,9,both,4,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_21,right,7,2,neither,9,both,4,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_22,both,5,7,neither,1,left,2,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_22,left,3,1,neither,1,left,2,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_22,right,9,3,neither,1,left,2,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_23,both,3,6,both,7,right,3,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_23,left,6,2,both,7,right,3,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_23,right,5,5,both,7,right,3,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_24,both,5,2,neither,6,left,1,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_24,left,9,6,neither,6,left,1,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_24,right,7,2,neither,6,left,1,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_25,both,5,4,left,9,neither,6,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_25,left,8,3,left,9,neither,6,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_25,right,8,2,left,9,neither,6,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_26,both,7,7,left,8,left,7,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_26,left,6,2,left,8,left,7,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_26,right,7,2,left,8,left,7,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_27,both,9,3,neither,4,both,4,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_27,left,5,4,neither,4,both,4,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_27,right,3,2,neither,4,both,4,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_28,both,4,5,both,1,neither,7,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_28,left,1,4,both,1,neither,7,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_28,right,4,1,both,1,neither,7,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_29,both,4,8,left,2,left,5,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_29,left,1,1,left,2,left,5,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_29,right,1,4,left,2,left,5,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_30,both,1,4,both,9,neither,9,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_30,left,7,8,both,9,neither,9,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_30,right,7,1,both,9,neither,9,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_31,both,9,5,left,7,both,9,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_31,left,3,7,left,7,both,9,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_31,right,3,2,left,7,both,9,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_32,both,9,4,left,6,right,7,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_32,left,1,6,left,6,right,7,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_32,right,6,7,left,6,right,7,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_33,both,6,2,neither,6,left,6,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_33,left,5,4,neither,6,left,6,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_33,right,7,9,neither,6,left,6,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_34,both,4,2,neither,6,both,4,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_34,left,2,2,neither,6,both,4,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_34,right,6,3,neither,6,both,4,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_35,both,7,8,neither,4,both,6,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_35,left,4,5,neither,4,both,6,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_001,face_35,right,3,1,neither,4,both,6,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_1,both,1,6,right,3,right,6,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_1,left,3,4,right,3,right,6,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_1,right,4,7,right,3,right,6,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_2,both,6,9,right,3,left,2,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_2,left,9,7,right,3,left,2,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_2,right,6,2,right,3,left,2,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_3,both,2,6,both,8,left,8,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_3,left,2,5,both,8,left,8,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_3,right,5,8,both,8,left,8,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_4,both,3,6,both,6,right,3,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_4,left,2,8,both,6,right,3,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_4,right,3,6,both,6,right,3,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_5,both,3,5,both,9,neither,4,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_5,left,2,1,both,9,neither,4,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_5,right,6,6,both,9,neither,4,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_6,both,5,8,left,3,left,4,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_6,left,2,8,left,3,left,4,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_6,right,1,8,left,3,left,4,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_7,both,7,5,both,1,neither,7,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_7,left,1,1,both,1,neither,7,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_7,right,7,5,both,1,neither,7,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_8,both,6,7,right,3,right,1,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_8,left,7,8,right,3,right,1,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_8,right,1,5,right,3,right,1,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_9,both,8,2,right,1,both,4,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_9,left,5,5,right,1,both,4,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_9,right,5,8,right,1,both,4,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_10,both,1,1,neither,5,neither,9,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_10,left,2,5,neither,5,neither,9,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_10,right,2,2,neither,5,neither,9,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_11,both,8,6,right,4,both,1,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_11,left,7,3,right,4,both,1,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_11,right,5,8,right,4,both,1,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_12,both,3,4,left,2,neither,8,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_12,left,8,2,left,2,neither,8,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_12,right,4,5,left,2,neither,8,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_13,both,3,3,neither,1,left,5,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_13,left,9,1,neither,1,left,5,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_13,right,9,9,neither,1,left,5,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_14,both,9,3,right,9,both,4,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_14,left,4,9,right,9,both,4,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_14,right,4,1,right,9,both,4,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_15,both,2,6,right,9,left,9,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_15,left,8,8,right,9,left,9,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_15,right,9,7,right,9,left,9,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_16,both,6,1,right,9,neither,1,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_16,left,6,7,right,9,neither,1,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_16,right,9,4,right,9,neither,1,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_17,both,4,8,neither,9,both,4,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_17,left,4,4,neither,9,both,4,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_17,right,7,4,neither,9,both,4,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_18,both,5,9,left,1,neither,6,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_18,left,7,1,left,1,neither,6,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_18,right,7,3,left,1,neither,6,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_19,both,4,4,both,6,both,8,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_19,left,8,2,both,6,both,8,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_19,right,6,4,both,6,both,8,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_20,both,6,1,right,3,right,7,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_20,left,5,5,right,3,right,7,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_20,right,2,2,right,3,right,7,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_21,both,9,9,both,2,left,6,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_21,left,1,4,both,2,left,6,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_21,right,2,8,both,2,left,6,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_22,both,3,7,neither,3,right,4,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_22,left,1,1,neither,3,right,4,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_22,right,6,8,neither,3,right,4,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_23,both,3,6,left,8,left,2,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_23,left,4,6,left,8,left,2,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_23,right,9,8,left,8,left,2,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_24,both,6,4,both,4,right,9,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_24,left,1,5,both,4,right,9,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_24,right,7,8,both,4,right,9,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_25,both,8,5,right,5,right,6,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_25,left,6,1,right,5,right,6,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_25,right,9,9,right,5,right,6,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_26,both,2,7,left,6,neither,6,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_26,left,5,4,left,6,neither,6,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_26,right,1,6,left,6,neither,6,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_27,both,9,9,left,1,right,6,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_27,left,3,3,left,1,right,6,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_27,right,4,2,left,1,right,6,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_28,both,7,7,both,6,right,2,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_28,left,3,8,both,6,right,2,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_28,right,3,1,both,6,right,2,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_29,both,1,8,both,9,left,6,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_29,left,2,3,both,9,left,6,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_29,right,6,5,both,9,left,6,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_30,both,8,7,both,5,neither,3,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_30,left,3,1,both,5,neither,3,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_30,right,7,1,both,5,neither,3,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_31,both,2,5,neither,5,neither,1,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_31,left,9,9,neither,5,neither,1,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_31,right,5,1,neither,5,neither,1,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_32,both,8,5,both,7,both,1,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_32,left,5,3,both,7,both,1,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_32,right,1,1,both,7,both,1,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_33,both,8,6,right,1,right,5,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_33,left,8,3,right,1,right,5,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_33,right,1,7,right,1,right,5,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_34,both,3,8,right,5,right,9,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_34,left,4,1,right,5,right,9,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_34,right,6,7,right,5,right,9,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_35,both,4,8,neither,6,both,7,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_35,left,2,8,neither,6,both,7,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_002,face_35,right,3,8,neither,6,both,7,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_1,both,8,3,left,1,left,8,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_1,left,4,4,left,1,left,8,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_1,right,4,3,left,1,left,8,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_2,both,7,9,neither,3,both,7,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_2,left,2,3,neither,3,both,7,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_2,right,4,6,neither,3,both,7,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_3,both,7,5,left,3,neither,4,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_3,left,2,1,left,3,neither,4,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_3,right,2,1,left,3,neither,4,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_4,both,6,3,both,9,right,7,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_4,left,7,8,both,9,right,7,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_4,right,3,1,both,9,right,7,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_5,both,5,7,both,1,neither,1,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_5,left,4,6,both,1,neither,1,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_5,right,9,7,both,1,neither,1,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_6,both,4,8,left,3,both,7,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_6,left,6,4,left,3,both,7,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_6,right,6,6,left,3,both,7,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_7,both,6,9,right,5,right,7,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_7,left,8,7,right,5,right,7,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_7,right,7,8,right,5,right,7,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_8,both,3,3,left,7,neither,5,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_8,left,9,5,left,7,neither,5,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_8,right,5,1,left,7,neither,5,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_9,both,3,4,neither,6,right,2,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_9,left,5,8,neither,6,right,2,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_9,right,7,8,neither,6,right,2,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_10,both,9,3,left,3,left,4,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_10,left,9,2,left,3,left,4,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_10,right,5,7,left,3,left,4,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_11,both,2,7,right,3,neither,9,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_11,left,8,7,right,3,neither,9,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_11,right,1,6,right,3,neither,9,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_12,both,7,6,right,4,right,1,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_12,left,8,3,right,4,right,1,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_12,right,7,7,right,4,right,1,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_13,both,6,6,right,5,both,9,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_13,left,2,3,right,5,both,9,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_13,right,7,3,right,5,both,9,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_14,both,5,3,both,9,right,4,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_14,left,6,4,both,9,right,4,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_14,right,1,7,both,9,right,4,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_15,both,8,3,both,9,both,6,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_15,left,1,7,both,9,both,6,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_15,right,6,1,both,9,both,6,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_16,both,3,2,right,4,both,4,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_16,left,1,6,right,4,both,4,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_16,right,6,9,right,4,both,4,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_17,both,9,4,both,3,both,7,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_17,left,5,9,both,3,both,7,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_17,right,7,7,both,3,both,7,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_18,both,5,9,left,6,both,9,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_18,left,8,8,left,6,both,9,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_18,right,9,3,left,6,both,9,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_19,both,4,2,left,8,both,5,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_19,left,3,9,left,8,both,5,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_19,right,5,9,left,8,both,5,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_20,both,1,2,right,6,left,1,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_20,left,6,2,right,6,left,1,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
test_003,face_20,right,9,3,right,6,left,1,2025-09-14T08:14:01.049419,Face Perception Study Dashboard
